
1980-01-01 00:00:00^^http://www.w3.org/2001/XMLSchema#gYear

1981-01-01 00:00:00^^http://www.w3.org/2001/XMLSchema#gYear

1982-01-01 00:00:00^^http://www.w3.org/2001/XMLSchema#gYear

1983-01-01 00:00:00^^http://www.w3.org/2001/XMLSchema#gYear

1984-01-01 00:00:00^^http://www.w3.org/2001/XMLSchema#gYear

1985-01-01 00:00:00^^http://www.w3.org/2001/XMLSchema#gYear

1986-01-01 00:00:00^^http://www.w3.org/2001/XMLSchema#gYear

1987-01-01 00:00:00^^http://www.w3.org/2001/XMLSchema#gYear

1988-01-01 00:00:00^^http://www.w3.org/2001/XMLSchema#gYear

1989-01-01 00:00:00^^http://www.w3.org/2001/XMLSchema#gYear

1990-01-01 00:00:00^^http://www.w3.org/2001/XMLSchema#gYear

1991-01-01 00:00:00^^http://www.w3.org/2001/XMLSchema#gYear

1992-01-01 00:00:00^^http://www.w3.org/2001/XMLSchema#gYear

1993-01-01 00:00:00^^http://www.w3.org/2001/XMLSchema#gYear

1994-01-01 00:00:00^^http://www.w3.org/2001/XMLSchema#gYear

1995-01-01 00:00:00^^http://www.w3.org/2001/XMLSchema#gYear

1996-01-01 00:00:00^^http://www.w3.org/2001/XMLSchema#gYear

1997-01-01 00:00:00^^http://www.w3.org/2001/XMLSchema#gYear

1998-01-01 00:00:00^^http://www.w3.org/2001/XMLSchema#gYear

1999-01-01 00:00:00^^http://www.w3.org/2001/XMLSchema#gYear

2000-01-01 00:00:00^^http://www.w3.org/2001/XMLSchema#gYear

2001-01-01 00:00:00^^http://www.w3.org/2001/XMLSchema#gYear

2002-01-01 00:00:00^^http://www.w3.org/2001/XMLSchema#gYear

2003-01-01 00:00:00^^http://www.w3.org/2001/XMLSchema#gYear

2004-01-01 00:00:00^^http://www.w3.org/2001/XMLSchema#gYear

2005-01-01 00:00:00^^http://www.w3.org/2001/XMLSchema#gYear

2006-01-01 00:00:00^^http://www.w3.org/2001/XMLSchema#gYear

2007-01-01 00:00:00^^http://www.w3.org/2001/XMLSchema#gYear

2008-01-01 00:00:00^^http://www.w3.org/2001/XMLSchema#gYear

2009-01-01 00:00:00^^http://www.w3.org/2001/XMLSchema#gYear

2010-01-01 00:00:00^^http://www.w3.org/2001/XMLSchema#gYear

2011-01-01 00:00:00^^http://www.w3.org/2001/XMLSchema#gYear

2012-01-01 00:00:00^^http://www.w3.org/2001/XMLSchema#gYear
