Austria	http://data.lod2.eu/scoreboard/country/Austria
Belgium	http://data.lod2.eu/scoreboard/country/Belgium
Bulgaria	http://data.lod2.eu/scoreboard/country/Bulgaria
Croatia	http://data.lod2.eu/scoreboard/country/Croatia
Cyprus	http://data.lod2.eu/scoreboard/country/Cyprus
Czech Republic	http://data.lod2.eu/scoreboard/country/Czech+Republic
Denmark	http://data.lod2.eu/scoreboard/country/Denmark
Estonia	http://data.lod2.eu/scoreboard/country/Estonia
	http://data.lod2.eu/scoreboard/country/European+Union+-+27+countries
Finland	http://data.lod2.eu/scoreboard/country/Finland
France	http://data.lod2.eu/scoreboard/country/France
Germany	http://data.lod2.eu/scoreboard/country/Germany
Greece	http://data.lod2.eu/scoreboard/country/Greece
Hungary	http://data.lod2.eu/scoreboard/country/Hungary
Iceland	http://data.lod2.eu/scoreboard/country/Iceland
Ireland	http://data.lod2.eu/scoreboard/country/Ireland
Italy	http://data.lod2.eu/scoreboard/country/Italy
Latvia	http://data.lod2.eu/scoreboard/country/Latvia
Lithuania	http://data.lod2.eu/scoreboard/country/Lithuania
Luxembourg	http://data.lod2.eu/scoreboard/country/Luxembourg
Malta	http://data.lod2.eu/scoreboard/country/Malta
Netherlands	http://data.lod2.eu/scoreboard/country/Netherlands
Norway	http://data.lod2.eu/scoreboard/country/Norway
Poland	http://data.lod2.eu/scoreboard/country/Poland
Portugal	http://data.lod2.eu/scoreboard/country/Portugal
Romania	http://data.lod2.eu/scoreboard/country/Romania
Slovak Republic	http://data.lod2.eu/scoreboard/country/Slovak+Republic
Slovenia	http://data.lod2.eu/scoreboard/country/Slovenia
Spain	http://data.lod2.eu/scoreboard/country/Spain
Sweden	http://data.lod2.eu/scoreboard/country/Sweden
Turkey	http://data.lod2.eu/scoreboard/country/Turkey
United Kingdom	http://data.lod2.eu/scoreboard/country/United+Kingdom
