http://opendatacommunities.org/data/homelessness-acceptances	Homelessness Acceptances	SP.HOL.ACCP
http://opendatacommunities.org/data/homelessness-decisions	Homelessness Decisions	SP.HOL.DECS
http://opendatacommunities.org/data/household-projections	Household projections by district, England, 1991-2033	SP.HOU.PROJ
http://opendatacommunities.org/data/housing-market/ratio/house-prices-ratio/med-house-price-to-earnings	Ratio of median house price to median earnings by district, from 1997	SP.MHP.MEAR
http://opendatacommunities.org/data/households/projections2012/households	Household projections, 1991-2037 (1000s), England, District, Total	SP.HOU.PROJ
