2109	1106	1046
1048	1080	1033
1058	1011	1134
1010	1316	1009
1112	1034	1034
1015	1207	999
1445	1006	1117
1017	1150	991
1157	1052	1007
988	1057	1002
987	1026	1056
1021	1021	1059
1045	1054	995
1025	1055	1000
1023	1019	1062
1015	1014	994
1733	1396	980
998	1027	1018
987	1038	1063
1038	1020	967
1076	1005	1003
1047	1062	994
1325	1431	1039
1021	993	1060
1059	989	1022
1005	1090	971
1030	974	1035
1426	1064	972
1380	1003	1025
1004	1067	994
997	996	1163
1029	1078	1025
1087	1020	966
1056	1048	997
1286	1000	1022
1002	996	1024
1050	1038	1012
1008	1046	999
1349	1012	1018
1049	986	1020
1386	1060	1053
1017	1224	991
999	991	1349
1374	999	997
1449	1024	1020
996	1034	1016
1002	987	1040
985	1270	2573
1076	999	988
1005	1090	994
1566	656	583
638	599	698
374	318	546
620	601	412
868	884	917
1097	1064	1033
893	814	941
303	274	273
