8102	4136	4171
4418	6002	4132
4022	4989	3972
5633	3035	4173
4765	4277	4204
4110	4190	3256
4608	3531	3080
4901	3045	2917
4092	11840	4349
4719	8033	5019
4084	5224	2929
3968	5177	3875
3961	4831	3843
5627	2980	4293
4356	5295	6347
5484	4735	3076
6287	5015	5063
5770	4778	3626
5183	3492	3431
6305	3459	4724
5055	4835	4668
6374	4064	6391
5564	3875	4863
6571	6659	6672
5447	4693	4813
5552	4949	5002
5444	4884	4756
6124	5276	6677
4696	4621	3524
5233	5895	4780
5275	4785	4212
5002	4909	3705
6460	4642	5044
4625	5973	5101
4431	5294	5718
5213	5900	6319
5752	4079	5391
4355	6310	4241
6081	5261	5769
5261	4392	5140
4244	9416	6511
5814	5241	4714
4885	6374	5938
6330	4023	3226
4776	3877	5359
6388	6239	4228
3670	6486	4755
4160	6215	5270
4925	5849	5405
6108	4846	6211
