Lesotho	http://unodc.publicdata.eu/r/country/Lesotho	Lesotho	Lesotho	administrative-area
Liechtenstein	http://unodc.publicdata.eu/r/country/Liechtenstein	Liechtenstein	Liechtenstein	administrative-area
Lithuania	http://unodc.publicdata.eu/r/country/Lithuania	Lithuania	Lithuania	administrative-area
Luxembourg	http://unodc.publicdata.eu/r/country/Luxembourg	Luxembourg	Luxembourg	administrative-area
Malaysia	http://unodc.publicdata.eu/r/country/Malaysia	Malaysia	Malaysia	administrative-area
Maldives	http://unodc.publicdata.eu/r/country/Maldives	Maldives	Maldives	administrative-area
Malta	http://unodc.publicdata.eu/r/country/Malta	Malta	Malta	administrative-area
Mauritius	http://unodc.publicdata.eu/r/country/Mauritius	Mauritius	Mauritius	administrative-area
Mexico	http://unodc.publicdata.eu/r/country/Mexico	Mexico	Mexico	administrative-area
Monaco	http://unodc.publicdata.eu/r/country/Monaco	Monaco	Monaco	administrative-area
Mongolia	http://unodc.publicdata.eu/r/country/Mongolia	Mongolia	Mongolia	administrative-area
Montenegro	http://unodc.publicdata.eu/r/country/Montenegro	Montenegro	Montenegro	administrative-area
Morocco	http://unodc.publicdata.eu/r/country/Morocco	Morocco	Morocco	administrative-area
Mozambique	http://unodc.publicdata.eu/r/country/Mozambique	Mozambique	Mozambique	administrative-area
Nepal	http://unodc.publicdata.eu/r/country/Nepal	Nepal	Nepal	administrative-area
Netherlands	http://unodc.publicdata.eu/r/country/Netherlands	Netherlands	Netherlands	administrative-area
New Zealand	http://unodc.publicdata.eu/r/country/New+Zealand	NewZealand	New Zealand	administrative-area
Nicaragua	http://unodc.publicdata.eu/r/country/Nicaragua	Nicaragua	Nicaragua	administrative-area
Norway	http://unodc.publicdata.eu/r/country/Norway	Norway	Norway	administrative-area
Occupied Palestinian Territory	http://unodc.publicdata.eu/r/country/Occupied+Palestinian+Territory	undefined/OccupiedPalestinianTerritory	Occupied Palestinian Territory	non-administrative-area
Panama	http://unodc.publicdata.eu/r/country/Panama	Panama	Panama	administrative-area
Paraguay	http://unodc.publicdata.eu/r/country/Paraguay	Paraguay	Paraguay	administrative-area
Peru	http://unodc.publicdata.eu/r/country/Peru	Peru	Peru	administrative-area
Philippines	http://unodc.publicdata.eu/r/country/Philippines	Philippines	Philippines	administrative-area
Poland	http://unodc.publicdata.eu/r/country/Poland	Poland	Poland	administrative-area
Portugal	http://unodc.publicdata.eu/r/country/Portugal	Portugal	Portugal	administrative-area
Qatar	http://unodc.publicdata.eu/r/country/Qatar	Qatar	Qatar	administrative-area
Republic of Korea	http://unodc.publicdata.eu/r/country/Republic+of+Korea	Canada/Ontario/OttawaDivision/Ottawa/BywardMarket-ParliamentHill/EmbassyoftheRepublicofKorea	Embassy of the Republic of Korea	administrative-area
Republic of Moldova	http://unodc.publicdata.eu/r/country/Republic+of+Moldova	Moldova	Moldova	administrative-area
Romania	http://unodc.publicdata.eu/r/country/Romania	Romania	Romania	administrative-area
Russian Federation	http://unodc.publicdata.eu/r/country/Russian+Federation	Russia	Russia	administrative-area
Saint Kitts and Nevis	http://unodc.publicdata.eu/r/country/Saint+Kitts+and+Nevis	SaintKittsandNevis	Saint Kitts and Nevis	administrative-area
Saint Vincent and the Grenadines	http://unodc.publicdata.eu/r/country/Saint+Vincent+and+the+Grenadines	SaintVincentandtheGrenadines	Saint Vincent and the Grenadines	administrative-area
Senegal	http://unodc.publicdata.eu/r/country/Senegal	Senegal	Senegal	administrative-area
Serbia	http://unodc.publicdata.eu/r/country/Serbia	Serbia	Serbia	administrative-area
Seychelles	http://unodc.publicdata.eu/r/country/Seychelles	Seychelles	Seychelles	administrative-area
Sierra Leone	http://unodc.publicdata.eu/r/country/Sierra+Leone	SierraLeone	Sierra Leone	administrative-area
Singapore	http://unodc.publicdata.eu/r/country/Singapore	Singapore	Singapore	administrative-area
Slovakia	http://unodc.publicdata.eu/r/country/Slovakia	Slovakia	Slovakia	administrative-area
Slovenia	http://unodc.publicdata.eu/r/country/Slovenia	Slovenia	Slovenia	administrative-area
Solomon Islands	http://unodc.publicdata.eu/r/country/Solomon+Islands	SolomonIslands	Solomon Islands	administrative-area
Spain	http://unodc.publicdata.eu/r/country/Spain	Spain	Spain	administrative-area
Sri Lanka	http://unodc.publicdata.eu/r/country/Sri+Lanka	SriLanka	Sri Lanka	administrative-area
Sudan	http://unodc.publicdata.eu/r/country/Sudan	Sudan	Sudan	administrative-area
Suriname	http://unodc.publicdata.eu/r/country/Suriname	Suriname	Suriname	administrative-area
Swaziland	http://unodc.publicdata.eu/r/country/Swaziland	Swaziland	Swaziland	administrative-area
Sweden	http://unodc.publicdata.eu/r/country/Sweden	Sweden	Sweden	administrative-area
Switzerland	http://unodc.publicdata.eu/r/country/Switzerland	Switzerland	Switzerland	administrative-area
Syrian Arab Republic	http://unodc.publicdata.eu/r/country/Syrian+Arab+Republic	Syria	Syria	administrative-area
Tajikistan	http://unodc.publicdata.eu/r/country/Tajikistan	Tajikistan	Tajikistan	administrative-area
Thailand	http://unodc.publicdata.eu/r/country/Thailand	Thailand	Thailand	administrative-area
The former Yugoslav Republic of Macedonia	http://unodc.publicdata.eu/r/country/The+former+Yugoslav+Republic+of+Macedonia	Macedonia(FYROM)	Macedonia (FYROM)	administrative-area
Trinidad and Tobago	http://unodc.publicdata.eu/r/country/Trinidad+and+Tobago	TrinidadandTobago	Trinidad and Tobago	administrative-area
Turkey	http://unodc.publicdata.eu/r/country/Turkey	Turkey	Turkey	administrative-area
Turkmenistan	http://unodc.publicdata.eu/r/country/Turkmenistan	Turkmenistan	Turkmenistan	administrative-area
Uganda	http://unodc.publicdata.eu/r/country/Uganda	Uganda	Uganda	administrative-area
Ukraine	http://unodc.publicdata.eu/r/country/Ukraine	Ukraine	Ukraine	administrative-area
United Arab Emirates	http://unodc.publicdata.eu/r/country/United+Arab+Emirates	UnitedArabEmirates	United Arab Emirates	administrative-area
United Kingdom	http://unodc.publicdata.eu/r/country/United+Kingdom+%28England+and+Wales%29	UnitedKingdom	United Kingdom	administrative-area
United Kingdom	http://unodc.publicdata.eu/r/country/United+Kingdom+%28Northern+Ireland%29	UnitedKingdom	United Kingdom	administrative-area
United Kingdom	http://unodc.publicdata.eu/r/country/United+Kingdom+%28Scotland%29	UnitedKingdom	United Kingdom	administrative-area
United States of America	http://unodc.publicdata.eu/r/country/United+States+of+America	UnitedStates	United States	administrative-area
Uruguay	http://unodc.publicdata.eu/r/country/Uruguay	Uruguay	Uruguay	administrative-area
Venezuela	http://unodc.publicdata.eu/r/country/Venezuela+%28Bolivarian+Republic+of%29	Venezuela	Venezuela	administrative-area
Yemen	http://unodc.publicdata.eu/r/country/Yemen	Yemen	Yemen	administrative-area
Zimbabwe	http://unodc.publicdata.eu/r/country/Zimbabwe	Zimbabwe	Zimbabwe	administrative-area
	http://unodc.publicdata.eu/r/region/	undefined/	Undefined area - code 	non-administrative-area
	http://unodc.publicdata.eu/r/region/Africa	Africa	Africa	administrative-area
Americas	http://unodc.publicdata.eu/r/region/Americas	Mexico/Guanajuato/Celaya/BajiodelasAmericas	Bajio de las Americas	administrative-area
	http://unodc.publicdata.eu/r/region/Asia	undefined/Asia	Undefined area - code Asia	non-administrative-area
	http://unodc.publicdata.eu/r/region/Europe	undefined/Europe	Undefined area - code Europe	non-administrative-area
Oceania	http://unodc.publicdata.eu/r/region/Oceania	Oceania	Oceania	administrative-area
