West Lothian Community Health and Care Partnership	http://statistics.gov.scot/id/statistical-geography/S03000035	UnitedKingdom/Scotland/WestLothian	West Lothian	administrative-area
Orkney Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000036	UnitedKingdom/Scotland/Orkney	Orkney	administrative-area
Shetland Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000037	undefined/ShetlandCommunityHealthPartnership	Shetland Community Health Partnership	non-administrative-area
Angus Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000038	undefined/AngusCommunityHealthPartnership	Angus Community Health Partnership	non-administrative-area
Dundee Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000039	UnitedKingdom/Scotland/DundeeCity	Dundee City	administrative-area
Perth and Kinross Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000040	UnitedKingdom/Scotland/PerthandKinross	Perth and Kinross	administrative-area
Western Isles Community Health and Social Care Partnership	http://statistics.gov.scot/id/statistical-geography/S03000041	UnitedKingdom/Hebrides	Hebrides	administrative-area
Edinburgh Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000042	undefined/EdinburghCommunityHealthPartnership	Edinburgh Community Health Partnership	non-administrative-area
Ayrshire and Arran	http://statistics.gov.scot/id/statistical-geography/S08000015	undefined/AyrshireandArran	Ayrshire and Arran	non-administrative-area
Borders	http://statistics.gov.scot/id/statistical-geography/S08000016	UnitedKingdom/Scotland/ScottishBorders	Scottish Borders	administrative-area
Dumfries and Galloway	http://statistics.gov.scot/id/statistical-geography/S08000017	UnitedKingdom/Scotland/DumfriesandGalloway	Dumfries and Galloway	administrative-area
Fife	http://statistics.gov.scot/id/statistical-geography/S08000018	UnitedKingdom/Scotland/Fife	Fife	administrative-area
Forth Valley	http://statistics.gov.scot/id/statistical-geography/S08000019	UnitedStates/Georgia/PeachCounty/FortValley	Fort Valley	administrative-area
Grampian	http://statistics.gov.scot/id/statistical-geography/S08000020	UnitedKingdom/Highland/Kingussie/GrampianMountains	Grampian Mountains	administrative-area
Greater Glasgow and Clyde	http://statistics.gov.scot/id/statistical-geography/S08000021	undefined/GreaterGlasgowandClyde	Greater Glasgow and Clyde	non-administrative-area
Highland	http://statistics.gov.scot/id/statistical-geography/S08000022	UnitedKingdom/Scotland/Highland	Highland	administrative-area
Lanarkshire	http://statistics.gov.scot/id/statistical-geography/S08000023	undefined/Lanarkshire	Lanarkshire	non-administrative-area
Lothian	http://statistics.gov.scot/id/statistical-geography/S08000024	UnitedStates/Maryland/AnneArundelCounty/1/Lothian	Lothian	administrative-area
Orkney	http://statistics.gov.scot/id/statistical-geography/S08000025	UnitedKingdom/Scotland/Orkney/Orkney/Orkney	Orkney	administrative-area
