Mauritius	http://unodc.publicdata.eu/r/country/Mauritius	Mauritius	administrative-area
Mexico	http://unodc.publicdata.eu/r/country/Mexico	Mexico	administrative-area
Monaco	http://unodc.publicdata.eu/r/country/Monaco	Monaco	administrative-area
Mongolia	http://unodc.publicdata.eu/r/country/Mongolia	Mongolia	administrative-area
Montenegro	http://unodc.publicdata.eu/r/country/Montenegro	Montenegro	administrative-area
Morocco	http://unodc.publicdata.eu/r/country/Morocco	Morocco	administrative-area
Mozambique	http://unodc.publicdata.eu/r/country/Mozambique	Mozambique	administrative-area
Nepal	http://unodc.publicdata.eu/r/country/Nepal	Nepal	administrative-area
Netherlands	http://unodc.publicdata.eu/r/country/Netherlands	Netherlands	administrative-area
New Zealand	http://unodc.publicdata.eu/r/country/New+Zealand	NewZealand	administrative-area
Nicaragua	http://unodc.publicdata.eu/r/country/Nicaragua	Nicaragua	administrative-area
Norway	http://unodc.publicdata.eu/r/country/Norway	Norway	administrative-area
Occupied Palestinian Territory	http://unodc.publicdata.eu/r/country/Occupied+Palestinian+Territory	World/tmp/OccupiedPalestinianTerritory	non-administrative-area
Panama	http://unodc.publicdata.eu/r/country/Panama	Panama	administrative-area
Paraguay	http://unodc.publicdata.eu/r/country/Paraguay	Paraguay	administrative-area
Peru	http://unodc.publicdata.eu/r/country/Peru	Peru	administrative-area
Philippines	http://unodc.publicdata.eu/r/country/Philippines	Philippines	administrative-area
Poland	http://unodc.publicdata.eu/r/country/Poland	Poland	administrative-area
Portugal	http://unodc.publicdata.eu/r/country/Portugal	Portugal	administrative-area
Qatar	http://unodc.publicdata.eu/r/country/Qatar	Qatar	administrative-area
Republic of Korea	http://unodc.publicdata.eu/r/country/Republic+of+Korea	World/tmp/RepublicofKorea	non-administrative-area
Republic of Moldova	http://unodc.publicdata.eu/r/country/Republic+of+Moldova	Moldova	administrative-area
Romania	http://unodc.publicdata.eu/r/country/Romania	Romania	administrative-area
Russian Federation	http://unodc.publicdata.eu/r/country/Russian+Federation	Russia	administrative-area
Saint Kitts and Nevis	http://unodc.publicdata.eu/r/country/Saint+Kitts+and+Nevis	SaintKittsandNevis	administrative-area
Saint Vincent and the Grenadines	http://unodc.publicdata.eu/r/country/Saint+Vincent+and+the+Grenadines	SaintVincentandtheGrenadines	administrative-area
Senegal	http://unodc.publicdata.eu/r/country/Senegal	Senegal	administrative-area
Serbia	http://unodc.publicdata.eu/r/country/Serbia	Serbia	administrative-area
Seychelles	http://unodc.publicdata.eu/r/country/Seychelles	Seychelles	administrative-area
Sierra Leone	http://unodc.publicdata.eu/r/country/Sierra+Leone	SierraLeone	administrative-area
Singapore	http://unodc.publicdata.eu/r/country/Singapore	Singapore	administrative-area
Slovakia	http://unodc.publicdata.eu/r/country/Slovakia	Slovakia	administrative-area
Slovenia	http://unodc.publicdata.eu/r/country/Slovenia	Slovenia	administrative-area
Solomon Islands	http://unodc.publicdata.eu/r/country/Solomon+Islands	SolomonIslands	administrative-area
Spain	http://unodc.publicdata.eu/r/country/Spain	Spain	administrative-area
Sri Lanka	http://unodc.publicdata.eu/r/country/Sri+Lanka	SriLanka	administrative-area
Sudan	http://unodc.publicdata.eu/r/country/Sudan	Sudan	administrative-area
Suriname	http://unodc.publicdata.eu/r/country/Suriname	Suriname	administrative-area
Swaziland	http://unodc.publicdata.eu/r/country/Swaziland	Swaziland	administrative-area
Sweden	http://unodc.publicdata.eu/r/country/Sweden	Sweden	administrative-area
Switzerland	http://unodc.publicdata.eu/r/country/Switzerland	Switzerland	administrative-area
Syrian Arab Republic	http://unodc.publicdata.eu/r/country/Syrian+Arab+Republic	Syria	administrative-area
Tajikistan	http://unodc.publicdata.eu/r/country/Tajikistan	Tajikistan	administrative-area
Thailand	http://unodc.publicdata.eu/r/country/Thailand	Thailand	administrative-area
The former Yugoslav Republic of Macedonia	http://unodc.publicdata.eu/r/country/The+former+Yugoslav+Republic+of+Macedonia	Macedonia(FYROM)	administrative-area
Trinidad and Tobago	http://unodc.publicdata.eu/r/country/Trinidad+and+Tobago	TrinidadandTobago	administrative-area
Turkey	http://unodc.publicdata.eu/r/country/Turkey	Turkey	administrative-area
Turkmenistan	http://unodc.publicdata.eu/r/country/Turkmenistan	Turkmenistan	administrative-area
Uganda	http://unodc.publicdata.eu/r/country/Uganda	Uganda	administrative-area
Ukraine	http://unodc.publicdata.eu/r/country/Ukraine	Ukraine	administrative-area
United Arab Emirates	http://unodc.publicdata.eu/r/country/United+Arab+Emirates	UnitedArabEmirates	administrative-area
United Kingdom	http://unodc.publicdata.eu/r/country/United+Kingdom+%28England+and+Wales%29	UnitedKingdom	administrative-area
United Kingdom	http://unodc.publicdata.eu/r/country/United+Kingdom+%28Northern+Ireland%29	UnitedKingdom	administrative-area
United Kingdom	http://unodc.publicdata.eu/r/country/United+Kingdom+%28Scotland%29	UnitedKingdom	administrative-area
United States of America	http://unodc.publicdata.eu/r/country/United+States+of+America	UnitedStates	administrative-area
Uruguay	http://unodc.publicdata.eu/r/country/Uruguay	Uruguay	administrative-area
Venezuela	http://unodc.publicdata.eu/r/country/Venezuela+%28Bolivarian+Republic+of%29	Venezuela	administrative-area
Yemen	http://unodc.publicdata.eu/r/country/Yemen	Yemen	administrative-area
Zimbabwe	http://unodc.publicdata.eu/r/country/Zimbabwe	Zimbabwe	administrative-area
	http://unodc.publicdata.eu/r/region/	World/tmp/	non-administrative-area
	http://unodc.publicdata.eu/r/region/Africa	Africa	administrative-area
Americas	http://unodc.publicdata.eu/r/region/Americas	Peru/Arequipa/Arequipa/JacoboHunter/Americas	administrative-area
	http://unodc.publicdata.eu/r/region/Asia	World/tmp/Asia	non-administrative-area
	http://unodc.publicdata.eu/r/region/Europe	World/tmp/Europe	non-administrative-area
Oceania	http://unodc.publicdata.eu/r/region/Oceania	Oceania	administrative-area
	http://unodc.publicdata.eu/r/subregion/	World/tmp/	non-administrative-area
Australia and New Zealand	http://unodc.publicdata.eu/r/subregion/Australia+and+New+Zealand	Australia/Queensland/Gympie/NewZealandLane	administrative-area
