
%_ent

%_hh

%_ind

%_ind_ilt12

%_ind_iu3

%_lines

%_of_EC_funding

%_of_organisations

%_of_pub_serv_for_citizen

%_of_pub_serv_for_ent

%_of_total_cost

%_pop

%_revenue

%_subs

%_turn

%_websites

euro

euro_x_hab

euro_x_million_of_GDP

lines/100_pop

million_euro

nb_of_organisations

nb_of_participations

nbr_lines

nbr_subs

subs/100_pop
