http://data.cso.ie/census-2011/dataset/houses-by-number-of-rooms/cty	Permanent private households by number of rooms - city@en	SP.PRH.TOTL
http://data.cso.ie/census-2011/dataset/houses-by-occupancy-status/cty	Occupancy status of permanent dwellings on Census night - city@en	SP.PDW.OCCS
http://data.cso.ie/census-2011/dataset/houses-by-type/cty	Private households by type - city@en	SP.HOU.TOTL
http://data.cso.ie/census-2011/dataset/houses-by-year-built/cty	Permanent private households by year built - city@en	SP.PRH.TOTL
http://data.cso.ie/census-2011/dataset/irish-speakers-frequency/cty	Irish speakers aged 3 or over by frequency of speaking Irish - city@en	SP.POP.IRIS.03
http://data.cso.ie/census-2011/dataset/irish-speakers/cty	Population aged 3 or over by ability to speak Irish - city@en	SP.POP.IRIL.03
http://data.cso.ie/census-2011/dataset/irish-speaking-outside-education/cty	Irish speakers within education aged 3+, by frequency of speaking Irish outside education - city@en	SP.POP.IRIS.03.ED
http://data.cso.ie/census-2011/dataset/persons-by-age-of-youngest-child/cty	Persons in families by age of youngest child - city@en	SP.FAM.PERS
http://data.cso.ie/census-2011/dataset/persons-by-type-of-accommodation/cty	Persons by type of accommodation - city@en	SP.ACC.PERS
http://data.cso.ie/census-2011/dataset/persons-by-type-of-occupancy/cty	Persons in permanent private households by type of occupancy - city@en	SP.PRH.PERS
http://data.cso.ie/census-2011/dataset/persons-communal-establishments/cty	Persons in Communal Establishments - city@en	SP.EST.COMM.PS
http://data.cso.ie/census-2011/dataset/persons-family-cycle/cty	Persons by family cycle - city@en	SP.FAC.PERS
http://data.cso.ie/census-2011/dataset/persons-in-houses-by-number-of-rooms/cty	Persons in permanent private households by number of rooms - city@en	SP.RHR.PERS
http://data.cso.ie/census-2011/dataset/persons-in-houses-by-size/cty	Persons in private households by size - city@en	SP.HOU.PERS
http://data.cso.ie/census-2011/dataset/persons-in-houses-by-type/cty	Persons in private households by type - city@en	SP.HOU.PERS
