Angus Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000038	World/tmp/AngusCommunityHealthPartnership	non-administrative-area
Dundee Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000039	UnitedKingdom/Scotland/DundeeCity	administrative-area
Perth and Kinross Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000040	UnitedKingdom/Scotland/PerthandKinross	administrative-area
Western Isles Community Health and Social Care Partnership	http://statistics.gov.scot/id/statistical-geography/S03000041	UnitedKingdom/Hebrides/WesternIslesCommunityHealthandSocialCarePartnership	non-administrative-area
Edinburgh Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000042	UnitedKingdom/Scotland/Edinburgh	administrative-area
Ayrshire and Arran	http://statistics.gov.scot/id/statistical-geography/S08000015	UnitedKingdom/NorthAyrshire/IsleofArran	administrative-area
Borders	http://statistics.gov.scot/id/statistical-geography/S08000016	UnitedKingdom/Scotland/ScottishBorders	administrative-area
Dumfries and Galloway	http://statistics.gov.scot/id/statistical-geography/S08000017	UnitedKingdom/Scotland/DumfriesandGalloway	administrative-area
Fife	http://statistics.gov.scot/id/statistical-geography/S08000018	UnitedKingdom/Scotland/Fife	administrative-area
Forth Valley	http://statistics.gov.scot/id/statistical-geography/S08000019	World/tmp/ForthValley	non-administrative-area
Grampian	http://statistics.gov.scot/id/statistical-geography/S08000020	UnitedKingdom/Highland/Kingussie/GrampianMountains	administrative-area
Greater Glasgow and Clyde	http://statistics.gov.scot/id/statistical-geography/S08000021	Australia/NewSouthWales/Clyde/SeventhStreet/NewGlasgowPark	administrative-area
Highland	http://statistics.gov.scot/id/statistical-geography/S08000022	UnitedKingdom/Scotland/Highland	administrative-area
Lanarkshire	http://statistics.gov.scot/id/statistical-geography/S08000023	UnitedKingdom/SouthLanarkshire	administrative-area
Lothian	http://statistics.gov.scot/id/statistical-geography/S08000024	UnitedStates/Maryland/AnneArundelCounty/1/Lothian	administrative-area
Orkney	http://statistics.gov.scot/id/statistical-geography/S08000025	UnitedKingdom/Scotland/Orkney	administrative-area
Shetland	http://statistics.gov.scot/id/statistical-geography/S08000026	UnitedKingdom/Scotland/ShetlandIslands	administrative-area
